Material,Band_Gap(ev),Refractive_index_n,mean-z,std-z,mean_mass,std_mass,mean_ele,std_ele,mean-FIE,std_FIE,mean-p,std-p,mean-radius,std-radius,mean-Den,std-Den,mean-boil,std-boil,mean-melt,std-melt,mean-con,std-con
Ag3AsS3,2.1,2.729,31.71,14.35,70.674,35.132,2.244,0.302,9.089,1.322,4,0.925,124.714,35.911,6154,3952.45,435.416,379.037,851.41,403.809,191.516,207.174
Ag3SbS3,1.75,3.013,34.28,15.88,77.365,39.494,2.225,0.309,8.921,1.293,4.142,0.989,127.428,35.716,6292.428,3952.075,308.967,354.119,824.807,393.209,187.802,209.894
AgAlGeSe4,2.02,2.896,32.57,9.25,70.112,28.723,2.25,0.364,8.639,1.704,4,0.816,117.142,28.004,5398.428,2221.783,947.075,860.869,765.114,325.631,103.868,204.517
AgAlS2,3.13,2.458,23,13.91,49.744,33.621,2.175,0.42,8.57,1.876,3.5,0.866,11.75,3.491,4277.5,3599.488,1057.543,1043.114,736.28,363.879,166.652,179.883
AgAlSe2,2.55,2.663,32,12.18,70.192,28.731,2.16,0.406,8.266,1.589,4,0.707,122.25,25.43,5707,2893.796,1177.608,1010.414,789.1,313.757,166.51,179.738
AgAlSnSe4,1.85,2.681,35.14,11.06,77.914,27.396,2.242,0.369,8.559,1.739,4.142,0.961,120,29.018,5682.285,2318.825,947.044,860.903,664.211,277.599,104.868,203.37
AgAlTe2,1.8,2.779,41,16.29,97.512,41.51,1.935,0.2,7.895,1.248,4.5,0.866,132.25,19.018,6417.5,2759.894,699.239,1208.256,903.43,209.851,167.75,178.593
AgBr,2.7,2.242,41,6,93.886,13.982,2.445,0.515,9.695,2.119,4.5,0.5,129.5,35.5,6805,3685,167.217,164.782,750.365,484.565,215.06,214.94
AgBr,4.3,2.242,41,6,93.886,13.982,2.445,0.515,9.695,2.119,4.5,0.5,129.5,35.5,6805,3685,167.217,164.782,750.365,484.565,215.06,214.94
AgCl,3.2,2.0568,32,15,71.66,36.2,2.545,0.615,10.272,2.696,4,1,122,43,5246.607,5243.393,120.772,118.337,703.265,531.665,215.004,214.995
AgCl,5.1,2.0568,32,15,71.66,36.2,2.545,0.615,10.272,2.696,4,1,122,43,5246.607,5243.393,120.772,118.337,703.265,531.665,215.004,214.995
AgGaGeS4,3,2.288,24.85,11.29,54.07,27.828,2.295,0.332,8.987,2.009,3.571,0.895,111.142,35.168,3472.913,1757.564,411.355,353.933,614.668,385.98,74.26,207.205
AgGaGeSe4,1.85,2.984,35.14,9.96,77.438,12.471,2.278,0.318,8.641,1.699,4.1,0.378,119.714,27.952,5856.142,1929.538,548.572,472.766,675.034,352.691,74.44,207.12
AgGaS2,2.6,2.5482,27.5,12.81,60.43,31.408,2.225,0.357,8.57,1.871,3.75,0.829,119.25,32.889,5078.5,3514.821,360.163,357.707,578.64,380.511,114.852,182.329
AgGaSe2,1.7,2.8421,36.5,6.18,80.877,15.638,2.21,0.342,8.27,1.584,4.25,0.433,126.75,25.868,6508,2341.291,480.228,477.772,631.46,357.04,115.01,182.23
AgGaSnSe4,1.7,3.069,37.71,6.94,93.02,35.602,2.271,0.324,8.561,1.734,4.285,0.606,122.571,28.772,6140,1975.827,548.54,472.802,574.131,277.917,75.44,206.511
AgGaTe2,1.1,2.992,45.5,8.61,108.197,23.628,1.985,0.122,7.898,1.243,4.75,0.433,136.75,17.15,7218.5,1893.775,1.858,0.597,745.79,330.329,124,178.195
AgI,2.92,2.222,50,3,117.386,9.518,2.295,0.365,9.013,1.437,5,0,140,25,7715,2775,229.917,227.482,810.89,424.04,215.224,214.775
AgInGeSe4,1.58,3.142,37.71,6.56,83.88,17.467,2.274,0.324,8.61,1.784,4.285,0.606,122.571,31.217,6057,1996.097,548.553,472.788,693.154,335.97,82.011,201.312
AgInS2,1.9,2.5,32,16.01,71.704,39.715,2.217,0.366,8.52,1.945,4.5,0.5,124.25,36.389,5430,3647.595,360.13,357.74,610.35,360.997,128.102,177.47
AgInSe2,1.18,2.96,41,7.03,92.151,19.348,2.202,0.351,8.216,1.661,4.5,0.5,131.75,28.925,6859.5,2329.74,480.195,477.805,663.17,331.146,128.26,177.357
AgInSnSe4,0.94,3.661,40.28,7.3,90.462,20.422,2.267,0.33,8.531,1.812,4.428,0.494,125.428,31.002,6340.857,2012.747,548.522,472.824,592.251,236.399,83.011,200.547
AgInTe2,0.96,3.46,50,2.12,119.971,8.971,1.977,0.133,7.845,1.325,5,0,141.75,19.018,7570,1741.536,1.825,0.565,777.5,289.98,129.5,176.466
AlAs,2.153,2.87,23,10,50.951,23.97,1.895,0.285,7.9,1.914,3.5,0.5,116,2,4214,1514,1839.5,952.5,1011.735,78.264,142.5,92.5
AlN,6.13,2.0294,10,3,20.494,6.487,2.325,0.715,10.259,4.274,2.5,0.5,87,31,1350.625,1349.374,1434.68,1357.32,498.26,435.21,117.512,117.487
Al2O3,9.9,1.7659,10,2.44,20.392,5.38,2.708,0.896,10.564,3.739,2.4,0.489,76,34.292,1080.857,1322.024,1170.92,1323.606,406.268,430.458,94.015,115.112
Al23O27N5,,179,10,2.55,20.41,5.597,2.638,0.878,10.509,3.844,2.418,0.493,78,33.983,1129.906,1331.111,1218.876,1333.685,422.993,432.783,95.288,115.903
AlP,3,2.75,14,1,28.977,1.996,1.9,0.289,8.236,2.251,3,0,108,10,2261.5,438.5,1672.8,1119.2,625.385,308.085,117.618,117.381
AlSb,1.68,3.5,32,19,74.37,47.389,1.86,0.219,7.312,1.327,4,1,125.5,7.5,4698.5,1998.5,1396.93,1395.07,918.625,14.845,129.5,105.5
As2O3,4,1.755,18,12.24,39.565,28.868,2.936,0.617,12.096,1.863,2.8,0.979,74.4,32.333,2292.057,2805.435,408.919,390.35,468.88,507.142,20.015,24.481
As2S3,2.5,2.6061,22.8,8.32,49.207,20.995,2.42,0.195,10.142,0.266,3.4,0.489,98.4,12.737,3467.2,1845.935,785.522,82.856,669.016,343.731,20.122,24.394
As2Se3,1.7,3.0788,33.6,0.48,73.744,0.96,2.402,0.181,9.777,0.03,4,0,107.4,5.388,5182.6,445.317,929.6,34.782,732.4,291.979,20.312,24.24
B2O3,8.45,1.46,6.8,1.46,13.924,2.541,2.88,0.685,11.49,2.606,2,0,63.6,19.106,984.857,1204.448,1763.32,2049.145,972.079,1123.433,10.815,13.214
B4C,1.64,3.2465,5.2,0.4,11.05,0.479,2.142,0.203,8.89,1.185,2,0,83,8,2420,80,4201.4,143.2,2661.4,626.8,49.6,45.2
BaB2O4,6.43,1.5499,14,17.19,31.849,43.12,2.675,0.951,10.897,3.282,2.571,1.399,88.428,69.308,1205.102,1427.155,1578.542,1840.01,845.028,1002.832,10.3,12.184
BaF2,9.1,1.4733,24.66,22.15,58.441,55.78,2.949,1.456,13.351,5.755,3.333,1.885,112.33,99.466,1171.13,1653.83,771.02,970.136,369,446.184,6.018,8.472
Ba(NO3)2,,1.5714,13.11,15.16,29.037,38.294,2.474,0.594,12.887,2.739,2.444,1.257,72.555,63.88,391.23,1102.651,315.435,646.162,161.655,296.418,2.023,5.648
BaO,4.8,1.9841,32,24,76.663,60.663,2.165,1.275,9.415,4.203,4,2,150.5,102.5,1755.714,1754.285,1116.6,1026.4,527.4,472.6,9.013,8.986
BaSe,3.58,2.27,45,11,105.143,32.183,1.72,0.83,7.482,2.27,5,1,178,75,4164.5,654.5,1550.5,592.5,747,253,9.26,8.74
BaTiO3,3.5,2.4043,20.4,8.6,46.638,46.993,2.55,1.109,10.578,3.757,3.2,1.6,114.6,85.124,1604.257,1988.212,483.431,830.462,621.08,754.69,8.015,9.866
BeO,10.6,1.717,6,2,12.505,3.493,2.505,0.934,11.47,2.147,2,0,80,32,924.714,923.285,1416.6,1326.4,807.4,752.6,95.013,94.986
Bi12GeO20,3.25,2.5476,36,35.76,87.89,92.095,2.88,0.694,11.143,3.07,3.515,1.908,84.878,45.841,3718.532,4670.371,722.76,842.415,267.884,286.877,4.743,10.481
Bi12SiO20,3.25,2.5284,35.45,35.95,86.54,92.578,2.876,0.698,11.151,3.063,3.484,1.908,84.454,45.531,3627.835,4667.393,818.818,930.952,282.296,340.795,7.47,25.48
Bi12TiO20,3.09,2.5619,35.69,35.83,87.139,92.261,2.868,0.711,11.111,3.11,3.515,1.908,86.424,48.977,3693.805,4663.966,722.774,842.403,289.993,373.712,3.591,5.003
Bi2Mo3O12,2.9,2.3523,22.82,25.41,52.81,64.452,3.047,0.609,10.08,3.164,3,1.571,84.235,57.507,2965.714,4594.172,280.655,569.199,613.788,1067.837,25.489,52.606
Bi2O3,2.58,2.52,38,36.74,93.191,94.54,2.872,0.695,11.086,3.1,3.6,1.959,86,46.54,3912.857,4790.501,788.92,855.753,250.639,239.854,3.215,3.906
Bi2Se3,0.4,4.2923,53.6,24,127.368,66.636,2.338,0.259,8.767,1.206,4.8,0.979,119,19.595,6803.4,2430.383,1309.6,430.62,514.16,24.69,3.511,3.664
Bi4Ge3O12,4.2,1.835,24.73,30.16,65.57,76.743,2.915,0.687,11.382,2.932,3.157,1.63,80.157,42.45,2900.323,4024.732,444.193,719.908,340.494,424.338,11.174,21.378
Bi4Si3O12,,2.051,24.73,30.16,58.535,77.808,2.897,0.71,11.422,2.886,3,1.589,77.947,40.371,2427.744,3885.84,944.705,1188.603,415.589,583.9,25.385,54.052
BN,7.5,2.117,6,1,12.408,1.597,2.54,0.5,11.416,3.118,2,0,71.5,15.5,1230.625,1229.374,2175.18,2097.819,1205.525,1142.475,13.512,13.487
BP,2,2.8,10,5,20.892,10.081,2.115,0.074,9.3925,1.094,2.5,0.5,92.5,5.5,2141.5,318.5,2413.3,1859.7,1332.65,1015.35,13.618,13.382
Ca12Al14O33,,1.643,11.62,4.69,23.502,9.499,2.824,0.759,10.28,3.76,2.644,0.797,94.305,57.913,956.731,1141.551,913.316,1159.937,478.931,481.589,96.455,109.252
Ca3Al2Si3O12,,1.734,11.2,4.38,22.522,8.853,2.66,0.987,10.908,4.187,2.55,0.739,86.35,69.454,852.857,1084.594,809.533,1280.333,546.527,635.315,76.015,118.895
Ca3Ga2Ge3O12,,1.814,15.7,10.08,33.479,23.478,2.696,0.955,10.872,4.212,2.8,0.979,90.25,70.799,1622.207,2337.667,55.095,42.995,412.131,497.727,41.915,97.252
C,5.47,2.4175,6,0,12.01,0,2.55,0,11.261,0,2,0,67,0,2260,0,3915,0,3915,0,140,0
CaCO3,5.9,1.6585,10,5.05,20.017,10.148,2.774,0.951,11.645,2.913,2.4,0.8,81,56.977,762.857,959.202,837.471,1539.145,1038.879,1495.533,68.015,85.403
CaF2,10,1.433,12.66,5.18,26.024,10.148,2.986,1.404,13.652,5.331,2.666,0.942,92.66,71.65,517.797,729.877,57.272,39.255,407.333,500.395,66.685,94.267
CaLa2S4,2.7,2.7,28.28,18.21,63.735,47.618,1.931,0.749,8.386,2.284,4,1.309,142.571,63.782,3097.428,1933.061,1478.176,1448.972,722.062,386.078,32.402,68.648
CaO,7.7,1.838,14,6,28.038,12.039,2.219,1.22,9.865,3.752,3,1,121,73,775.714,774.285,45.978,44.221,584.9,530.1,100.013,99.986
CaSe,4.87,2.26,27,7,56.519,16.44,1.775,0.774,7.933,1.819,4,0,148.5,45.5,3184.5,1634.5,479.878,478.121,804.5,310.5,100.26,99.74
CdBr2,4.47,1.973,39.33,6.12,90.739,15.323,2.536,0.598,10.874,1.329,4.333,0.471,116.333,31.584,4963.333,2606.866,221.679,156.016,375.273,154.818,32.413,45.669
CdCl2,5.7,1.7,27.33,14.61,61.105,36.278,2.67,0.692,11.643,1.873,3.666,0.942,106.333,38.655,2885.476,4076.134,159.753,112.227,312.473,199.224,32.339,45.722
CdF2,6,1.562,22,18.38,50.135,44.035,3.216,1.079,14.612,3.972,3,1.414,81.666,56.097,2884.464,4076.849,57.033,39.593,233.74,254.897,32.351,45.713
CdGa2S4,3.4,2.4453,24.85,11.49,54.302,28.859,2.232,0.402,8.918,1.903,3.571,0.728,112.142,28.925,4042.5712,2549.695,411.067,354.265,393.354,90.084,22.259,32.999
CdGeAs2,0.61,3.5963,36.5,6.65,83.723,16.588,2.015,0.2,9.131,0.785,4.25,0.433,128.5,19.293,6357.25,1334.005,444.533,442.467,996.405,237.431,64.25,19.343
CdGeP2,1.72,3.3,27.5,13.72,61.749,33.835,2.02,0.204,9.466,1.09,3.75,0.829,120.5,25.85,4404.75,2837.084,277.833,275.767,610.055,365.129,39.368,41.26
CdI2,3.8,2.297,51.33,2.35,122.073,6.832,2.336,0.457,9.965,0.686,5,0,130.333,21.68,6176.666,1748.91,305.28,215.13,455.973,97.755,32.632,45.397
CdO,2.3,2.49,28,20,64.205,48.205,2.565,0.875,11.306,2.312,3.5,1.5,104.5,56.5,4325.714,4324.285,45.62,44.58,324.51,269.71,48.513,48.486
CdS,2.42,2.4814,32,16,72.238,40.173,2.135,0.445,9.677,0.682,4,1,125.5,36.5,5305,3345,359.455,358.415,491.29,102.93,48.602,48.397
CdSe,1.7,2.549,41,7,92.685,19.725,2.12,0.429,9.373,0.379,4.5,0.5,132,29,6734.5,1915.5,479.52,478.48,544.11,50.11,48.76,48.24
CdSeP2,1.72,3.16,28,13.91,61.829,33.861,2.155,0.306,9.93,0.618,3.75,0.829,115,26.636,4278.75,2804.51,516.56,340.357,430.705,118.811,24.497,41.859
CdSiAs2,1.52,3.5,32,12.06,72.584,29.904,1.987,0.206,9.193,0.689,4,0.707,125,20.82,5609,2237.623,1237.01,1174.807,1115.305,387.183,86.75,41.251
CdSiP2,2.45,2.703,23,14.43,50.611,35.699,1.992,0.21,9.529,1.002,3.5,0.866,117,25.951,3656.5,2890.419,1070.31,1234.769,728.955,564.562,61.868,64.417
CdSnAs2,0.41,3.7,41,8.03,95.241,20.441,2.002,0.201,8.992,1.008,4.5,0.5,133.5,20.303,6854,1221.607,444.478,442.521,819.825,272.006,66,19.196
CdSnP2,1.17,3.442,32,17.01,73.267,42.351,2.007,0.205,9.328,1.297,4,1,125.5,28.075,4901.5,3114.741,277.778,275.822,433.475,120.373,41.118,42.235
CdTe,1.56,2.817,50,2,120.505,8.094,1.895,0.205,9.001,0.008,5,0,142,19,7445,1205,1.1505,0.11,658.44,64.219,50,47
Ce2O3,2.4,2.008,28,24.49,65.646,60.804,2.512,1.136,10.386,3.957,3.6,1.959,112.8,79.363,2676.457,3276.227,1507.32,1735.61,461.28,497.834,4.415,5.375
CeF3,4.85,1.6271,21.25,21.21,49.277,52.445,3.514,0.805,14.451,5.145,3,1.732,84,72.746,1673.522,2895.687,972.022,1536.316,307.875,440.59,2.77,4.751
CeO2,3.41,2.425,24.66,23.57,57.371,58.509,2.666,1.093,10.924,3.808,3.333,1.885,102,76.367,2230.619,3152.551,1271.133,1670.091,393.533,479.041,3.684,5.872
CoO,3.2,2.35,17.5,9.5,37.466,24.466,2.66,0.78,10.749,2.868,3,1,100,52,4450.714,4449.285,46.7,43.5,911.4,856.6,50.013,49.986
Cr2O3,2.58,2.52,14.4,7.83,30.398,17.634,2.728,0.872,10.877,3.356,2.8,0.979,95.2,57.807,2876.857,3521.666,55.297,42.746,904.879,1041.131,37.615,46.037
CsLiB6O10,6.89,1.4939,9.33,11.19,20.261,27.47,2.689,0.903,10.847,3.826,2.222,0.916,81.5,82.434,954.905,1147.782,1616.611,1916.161,855.071,1060.524,15.736,27.315
CsB3O5,7.42,1.558,12.22,15.18,27.259,37.426,2.678,0.924,10.764,3.434,2.444,1.257,88.777,76.082,1029.571,1161.669,1579.333,1922.346,846.621,1064.287,13.014,14.751
CsBr,6.9,1.6929,45,10,106.404,26.5,1.875,1.085,7.854,3.96,5,1,196,102,2499.5,620.5,638,306,283.695,17.894,18.06,17.939
CsCl,7.4,1.64,36,19,84.179,48.726,1.975,1.185,8.431,4.537,4.5,1.5,188.5,109.5,941.107,937.892,591.555,352.445,236.594,64.994,18.004,17.995
CsF,10,1.48,32,23,75.951,56.953,2.385,1.594,10.658,6.764,4,2,170,128,940.348,938.651,514.515,429.485,177.545,124.044,18.013,17.986
CsI,6.2,1.7806,54,1,129.905,3,1.725,0.935,7.172,3.278,5.5,0.5,206.5,91.5,3409.5,1530.5,700.7,243.3,344.22,42.63,18.224,17.775
Cu2O,2.1,2.262,22,9.89,47.697,22.413,2.413,0.725,9.69,2.777,3.333,0.942,112.666,45.726,5973.809,4223.11,31.956,41.184,923.446,614.225,266.675,188.549
CuAlGeSe4,2.25,2.788,30,7.15,65.001,15.853,2.245,0.368,8.66,1.693,3.857,0.349,114.285,18.902,5179.857,1731.247,947.132,860.806,782.662,352.665,99.582,146.096
CuAlS2,3.5,2.4,18.5,6.18,38.664,14.514,2.167,0.425,8.608,1.857,3.25,0.433,109.75,23.752,3895,2939.842,1057.643,1043.013,766.99,407.264,158.852,169.032
CuAlSe2,2.7,2.606,27.5,8.61,59.111,18.944,2.152,0.41,8.304,1.573,3.75,0.433,117.25,17.151,5324.5,2270.237,1177.708,1010.298,607.392,464.47,159.01,168.885
CuAlSnSe4,1.9,2.957,32.57,10.05,71.582,24.734,2.238,0.373,8.581,1.732,4,0.534,117.142,22.75,5463.714,1887.308,947.101,860.84,681.76,314.546,100.582,145.845
CuAlTe2,2.06,3.3,36.5,16.5,86.431,43.15,1.927,0.2,7.933,1.24,4.25,0.829,127.25,10.449,6035,222.717,699.339,1208.198,934.139,259.282,160.25,167.722
CuBr,3,2.117,32,3,71.725,8.178,2.429,0.53,9.77,2.043,4,0,119.5,25.5,6040,2920,167.417,164.582,811.785,545.985,200.06,199.94
CuCl,3.3,1.97,23,6,49.499,14.046,2.53,0.63,10.347,2.62,3.5,0.5,112,33,4481.607,4478.393,120.972,118.137,764.685,593.085,200.004,199.995
CuGaGeSe4,1.87,2.973,32.57,1.84,71.107,3.276,2.274,0.322,8.662,1.688,4,0,116.857,20.205,5637.571,1408.581,548.629,472.7,692.582,381.955,70.154,136.272
CuGaS2,2.43,2.6721,23,7.03,49.349,17.422,2.217,0.363,8.611,1.852,3.5,0.5,114.25,26.442,4696,2941.613,360.263,357.607,609.35,433.506,107.352,169.368
CuGaSe2,1.7,2.8,32,2.12,69.797,3.843,2.202,0.348,8.308,1.568,4,0,121.75,19.018,6125.5,1695.386,480.328,477.672,662.17,409.111,107.51,169.268
CuGaSnSe4,1.42,3.248,35.14,6.33,77.688,17.053,2.267,0.329,8.583,1.726,4.142,0.349,119.714,22.685,5921.428,1512.932,548.598,472.736,591.68,319.809,71.154,136.219
CuGaTe2,1.18,3.599,41,11.02,97.117,30.56,1.977,0.126,7.936,1.235,4.5,0.5,131.75,9.31,6836,1233.94,1.958,0.708,776.5,376.815,108.75,168.487
CuI,3.1,2.346,4,12,95.225,31.679,2.28,0.38,9.089,1.362,4.5,0.5,130,15,6950,2010,230.117,227.282,872.31,485.46,200.224,199.775
CuInGeSe4,1.26,3.368,35.14,5.91,77.549,15.553,2.27,0.329,8.632,1.775,4.142,0.349,119.714,25.716,5838.428,1527.485,548.61,472.722,710.702,365.702,77.725,135.243
CuInS2,1.54,2.6,27.5,13.5,60.623,33.825,2.21,0.372,8.558,1.928,3.75,0.829,119.25,31.491,5047.5,3142.128,360.23,357.64,641.06,414.137,120.602,164.73
CuInSe2,0.95,2.9,36.5,7.5,81.071,19.859,2.195,0.357,8.254,1.647,4.25,0.433,126.75,24.066,6477,1757.633,480.295,477.705,693.88,384.193,120.76,164.615
CuInSnSe4,0.71,3.942,37.71,7.64,84.13,20.909,2.262,0.335,8.552,1.807,4.285,0.451,122.571,26.605,6122.285,1588.717,548.872,472.758,609.8,306.24,78.725,135.134
CuInTe2,0.95,3.4,45.5,9.6,108.39,26.411,1.97,0.136,7.883,1.319,4.75,0.433,136.75,14.289,7187.5,1112.685,1.925,0.686,808.21,339.074,122,163.711
Cu3SbSe4,0.4,,34.25,6.74,75.529,18.008,2.243,0.309,8.854,0.941,4.125,0.33,122.5,19.843,6606.625,1917.214,480.295,477.704,869.136,400.062,153.26,191.268
Dy2O3,5,1.9701,31.2,28.41,74.599,71.77,2.556,1.082,10.546,3.761,3.6,1.959,120,88.181,3421.257,4188.417,1190.12,1347.121,706.88,798.631,4.415,5.375
Er2O3,5.42,1.959,32,29.39,76.503,74.101,2.56,1.077,10.614,3.679,3.6,1.959,119.2,87.201,3627.257,4440.714,1310.52,1494.58,740.88,840.272,6.015,7.335
Eu2O3,4.5,1.969,30,26.94,70.385,66.608,2.544,1.097,10.438,3.893,3.6,1.959,121.2,89.651,2098.457,2568.324,774.12,837.627,470.88,509.591,5.615,6.845
Fe2O3,2.2,3.1258,15.2,8.81,31.877,19.446,2.796,0.788,11.331,2.799,2.8,0.979,91.2,52.908,3150.457,3856.756,55.373,42.653,757.28,860.358,32.015,39.178
FeO,3.2,2.32,17,9,35.846,19.846,2.635,0.804,10.76,2.857,3,1,102,54,3937.714,3936.285,46.667,43.533,932.9,878.1,40.013,39.986
Ga2O3,5.4,1.94,17.2,11.26,37.485,26.321,2.788,0.798,10.57,3.732,2.8,0.979,83.2,43.111,2362.457,2891.657,55.11,42.975,154.044,121.548,11.615,14.194
GaAs,1.42,4.02,32,1,72.322,2.599,1.995,0.185,7.907,1.908,4,0,125,11,5816,88,444.738,442.261,696.455,393.544,39.5,10.5
GaN,3.3,2.327,19,12,41.864,27.858,2.425,0.615,10.266,4.267,3,1,96,40,2952.625,2951.374,39.918,37.441,182.98,119.93,14.512,14.487
GaP,2.26,3.35,23,8,50.348,19.374,2,0.189,8.243,2.244,3.5,0.5,117,19,3863.5,2040.5,278.038,275.561,310.105,7.194,14.618,14.382
GaP,2.78,3.35,23,8,50.348,19.374,2,0.189,8.243,2.244,3.5,0.5,117,19,3863.5,2040.5,278.038,275.561,310.105,7.194,14.618,14.382
GaS,2.8,2.3603,23.5,7.5,50.894,18.829,2.195,0.385,8.179,2.18,3.5,0.5,112,24,3932,1972,360.173,357.696,345.635,42.724,14.602,14.397
GaSe,2,2.5258,32.5,1.5,71.341,1.618,2.179,0.369,7.875,1.877,4,0,119.5,16.5,5361.5,542.5,480.238,477.761,398.455,95.544,14.76,14.24
GaSb,0.726,3.82,41,10,95.741,26.018,1.93,0.119,7.319,1.32,4.5,0.5,134.5,1.5,6300.5,396.5,2.168,0.308,603.345,300.434,26.5,2.5
Gd2O3,5.3,1.977,30.4,27.43,72.499,69.198,2.544,1.097,10.63,3.658,3.6,1.959,122,90.631,3161.257,3869.983,1463.32,1681.721,667.28,750.1317,4.415,5.375
Gd2Ti2O7,,2.36,20.72,21.06,47.475,53.117,2.687,1.001,11.025,3.435,3.09,1.56,104.909,77.22,2256.909,3154.328,698.592,1331.836,676.145,828.902,6.016,8.59
Gd3Ga5O12,,1.9637,22.15,20.06,50.617,50.158,2.696,0.929,10.593,3.705,3.1,1.479,97.75,67.784,2662.007,3315.402,583.189,1235.517,346.507,531.02,8.915,12.202
Gd3Sc2Al3O12,,1.901,18.45,19.54,41.729,49.321,2.621,1.008,10.647,4.461,2.95,1.43,99.85,70.921,1889.507,2788.934,1001.68,1425.671,592.2,698.694,38.515,82.728
Gd3Sc2Ga3O12,,1.9628,21.15,19.84,48.141,49.763,2.651,0.98,10.649,4.458,3.1,1.479,144.268,64.646,2370.107,3141.029,583.251,1235.487,491.616,688.702,7.615,10.578
Ge,0.664,4.052,32,0,72.64,0,2.01,0,7.9,0,4,0,125,0,5323,0,3.093,0,1211.4,0,60,0
GeO2,5.56,1.6054,16,11.31,34.879,26.7,2.963,0.674,11.712,2.695,2.666,0.942,73.666,36.298,1775.286,2508.6126,61.164,41.062,440.333,545.226,20.017,28.271
GeTe,0.1,6,42,10,100.12,27.479,2.054,0.045,8.455,0.554,4.5,0.5,124,1,5781.5,458.5,2.177,0.916,917.53,194.87,31.5,28.5
HfO2,5.55,1.8943,29.33,30.16,70.162,76.598,2.726,1.008,11.353,3.202,3.333,1.885,101.333,75.424,4437.619,6273.72,1685.466,2256.047,871.866,1155.506,7.684,10.829
Hg2Cl2,3.9,1.973,48.5,31.5,118.021,82.568,2.58,0.58,11.703,1.264,4.5,1.5,125,46,6768.607,6765.393,434.495,195.385,202.959,31.36,4.154,4.145
HgGa2S4,2.84,2.466,29.42,21.65,66.899,56.999,2.277,0.354,9.125,1.977,3.714,1.03,113.571,31.44,4740.285,3981.346,500.902,316.631,323.082,42.861,9.588,12.578
HgO,2.21,2.5067,44,36,108.294,92.295,2.719,0.72,12.028,1.589,4,2,109.5,61.5,6767.714,6766.285,360.04,269.84,144.56,89.759,4.163,4.136
